"species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy"
"Anthophora bimaculata",38.613,-9.21,NA,1971,6,20,"Colln. Mendoça","D. Baldock"
"Anthophora aestivalis",40.506,-1.525,NA,1971,NA,NA,NA,"Rasmont P"
"Anthophora aestivalis",40.596,-1.523,NA,1971,NA,NA,NA,"Rasmont P"
"Anthophora bimaculata",40.422,-2.116,NA,1971,NA,NA,NA,"Rasmont P"
"Anthophora atroalba",40.241,-2.001,NA,1971,NA,NA,NA,"Rasmont P"
"Anthophora atroalba",39.07,-8.16,NA,1973,4,14,"Colln. Mendoça","G. Legoff"
"Anthophora quadrimaculata",41.677,-4.502,NA,1973,NA,NA,"Asensio E.","Rasmont P"
"Anthophora plumipes",39.62,-8.65,NA,1974,5,17,"Colln. Mendoça","D. Baldock"
"Anthophora fulvitarsis",41.582,-4.859,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora retusa",41.582,-4.859,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora fulvitarsis",41.483,-5.336,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora affinis",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora agama",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora balearica",41.674,-4.742,NA,1974,NA,NA,"E. Asensio, P. F. Tor",NA
"Anthophora fulvitarsis",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora crassipes",37.903,-3.057,NA,1974,NA,NA,"P. F. Torchio","Brooks Rw"
"Anthophora agama",37.63,-3.623,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora plumipes",37.903,-3.057,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora affinis",37.625,-1.697,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora affinis",37.719,-2.149,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora agama",37.719,-2.149,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora ferruginea",37.625,-1.697,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora ferruginea",37.719,-2.149,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora robusta",37.719,-2.149,NA,1974,NA,NA,"P. F. Torchio","Brooks Rw"
"Anthophora bimaculata",41.472,-5.46,NA,1974,6,7,"P. F.  Torchio, E. Asensio","R. W. Brooks"
"Anthophora affinis",41.483,-5.336,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora agama",41.483,-5.336,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora bimaculata",41.483,-5.336,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora bimaculata",41.48,-5.455,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora quadrimaculata",41.483,-5.336,NA,1974,NA,NA,NA,"Brooks Rw"
"Anthophora bimaculata",41.584,-4.739,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora retusa",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora bimaculata",41.674,-4.742,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora robusta",41.674,-4.742,NA,1974,NA,NA,"Torchio, Asensio",NA
"Anthophora bimaculata",41.578,-0.662,NA,1974,6,18,"P. Torchi, E. Asensio","R. W. Brooks"
"Anthophora bimaculata",41.663,-0.658,NA,1974,NA,NA,"Torchio, Asensio",NA
"Anthophora pubescens",41.663,-0.658,NA,1974,NA,NA,"Torchio, Asensio",NA
"Anthophora ferruginea",41.674,-4.742,NA,1974,NA,NA,"Torchio, Asensio",NA
"Anthophora quadrimaculata",41.674,-4.742,NA,1974,NA,NA,"Torchio, Asensio",NA
"Anthophora robusta",41.854,-4.747,NA,1974,NA,NA,"P. F. Torchio","Brooks Rw"
"Anthophora affinis",41.587,-4.5,NA,1974,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora bimaculata",41.672,-4.862,NA,1974,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora fulvitarsis",41.677,-4.502,NA,1974,NA,NA,"Torchio, Asensio",NA
"Bombus terrestris",43.094,-6.235,NA,1988,NA,NA,"Obeso J. R.","Obeso J. R."
"Anthophora crassipes",43.364,-5.777,NA,1974,NA,NA,NA,"Rasmont P"
"Anthophora crassipes",43.553,-6.586,NA,1974,NA,NA,NA,"Rasmont P"
"Anthophora bimaculata",38.59,-0.187,NA,1974,NA,NA,NA,"Rasmont P"
"Anthophora bimaculata",38.587,-0.072,NA,1974,NA,NA,NA,"Rasmont P"
"Anthophora plumipes",39.23,-8.68,NA,1975,3,28,"Colln. Mendoça","D. Baldock"
"Anthophora plumipes",41.867,3.06,NA,1975,NA,NA,NA,"Rasmont P"
"Anthophora fulvitarsis",42.315,-3.667,NA,1975,NA,NA,"P. F. Torchio, E. Ase",NA
"Anthophora robusta",42.315,-3.667,NA,1975,NA,NA,"P. F. Torchio, E. Ase","Brooks Rw"
"Anthophora bimaculata",41.483,-5.336,NA,1975,NA,NA,"P. F. Torchio",NA
"Anthophora ferruginea",41.674,-4.742,NA,1975,NA,NA,"P. F. Torchio","Brooks Rw"
"Anthophora fulvitarsis",42.012,0.162,NA,1976,NA,NA,NA,"Rasmont P"
"Anthophora balearica",39.523,2.476,NA,1977,NA,NA,"G. E. Bohart",NA
"Anthophora plumipes",39.523,2.476,NA,1977,NA,NA,"G. E. Bohart",NA
"Anthophora balearica",39.614,2.476,NA,1977,NA,NA,"G. E. Bohart",NA
"Anthophora plumipes",39.614,2.476,NA,1977,NA,NA,"G. E. Bohart","Brooks Rw"
"Anthophora plumipes",39.704,2.592,NA,1977,NA,NA,"G. E. Bohart","Brooks Rw"
"Anthophora dispar",42.102,0.158,NA,1977,NA,NA,NA,"Rasmont P"
"Anthophora fulvitarsis",39.881,-3.994,NA,1977,NA,NA,"G. E. Bohart","Brooks Rw"
"Anthophora plumipes",39.881,-3.994,NA,1977,NA,NA,"G. E. Bohart",NA
"Anthophora mucida",41.77,-1.737,NA,1977,NA,NA,NA,"Rasmont P"
"Anthophora atroalba",39.07,-8.16,NA,1977,5,22,"Colln. Mendoça","G. Legoff"
"Anthophora mucida",39.07,-8.16,NA,1977,5,22,"Colln. Mendoça","G. Legoff"
"Anthophora bimaculata",36.631,-4.51,NA,1978,NA,NA,"G. E. Bohart",NA
"Anthophora plumipes",36.631,-4.51,NA,1978,NA,NA,"G. E. Bohart","Brooks Rw"
"Anthophora balearica",36.993,-4.405,NA,1978,NA,NA,"G. E. Bohart",NA
"Anthophora bimaculata",36.993,-4.405,NA,1978,NA,NA,"G. E. Bohart",NA
"Anthophora atroalba",41.674,-4.742,NA,1978,NA,NA,"Parker, Esensio",NA
"Anthophora balearica",41.674,-4.742,NA,1978,NA,NA,"Parker, Esensio",NA
"Anthophora plumipes",41.674,-4.742,NA,1978,NA,NA,"E. Asensio, F. D. Par","Brooks Rw"
"Anthophora senescens",41.674,-4.742,NA,1978,NA,NA,"Parker, Esensio",NA
"Anthophora fulvitarsis",41.483,-5.336,NA,1978,NA,NA,"E. Asensio, F. D. Par",NA
"Anthophora balearica",41.65,-4.717,NA,1978,4,18,"F. D. Parker","R. W. Brooks"
"Bombus terrestris",43.004,-6.239,NA,1988,NA,NA,"Obeso J. R.","Obeso J. R."
"Anthophora plumipes",41.412,-4.017,NA,1978,NA,NA,"F. D. Parker",NA
"Anthophora plumipes",36.811,-4.513,NA,1978,NA,NA,"Parker, Frank",NA
"Anthophora fulvitarsis",36.717,-4.417,NA,1978,5,1,"G. E. Bohart","R. W. Brooks"
"Anthophora ferruginea",36.631,-4.51,NA,1978,NA,NA,"G. E. Bohart","Brooks Rw"
"Bombus terrestris",40.22,-0.591,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.328,-1.646,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.4,-0.584,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.415,-1.409,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.418,-1.645,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.419,-1.762,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.506,-1.525,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",40.508,-1.643,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",42.858,-9.061,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus vestalis",37.09,-3.506,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus vestalis",37.091,-3.056,NA,1988,NA,NA,"Castro L.","Castro L"
"Bombus wurflenii",43.004,-6.239,NA,1988,NA,NA,"Obeso J. R.","Obeso J. R."
"Bombus wurflenii",43.2,-5.031,NA,1988,NA,NA,"Obeso J. R.","Obeso J. R."
"Anthophora canescens",38.974,1.442,NA,1979,NA,NA,"Hohmann","Hohmann"
"Anthophora bimaculata",41.133,1.272,NA,1979,NA,NA,NA,NA
"Anthophora pubescens",38.974,1.442,NA,1979,NA,NA,"Hohmann","Hohmann"
"Anthophora robusta",41.675,-4.622,NA,1982,NA,NA,"P. F. Torchio","Ascher Js"
"Anthophora ferruginea",41.765,-4.624,NA,1982,NA,NA,"P. F. Torchio","Ascher Js"
"Anthophora ferruginea",42.037,-4.51,NA,1982,NA,NA,"P. F. Torchio","Ascher Js"
"Anthophora robusta",42.037,-4.51,NA,1982,NA,NA,"P. F. Torchio","Ascher Js"
"Anthophora plagiata",42.928,-0.856,NA,1982,7,10,"Rasmont P","Vanderza G"
"Anthophora crassipes",42.928,-0.856,NA,1982,NA,NA,"Rasmont P","Rasmont P"
"Anthophora plumipes",41.588,1.62,NA,1983,NA,NA,"Lays P.","Rasmont P"
"Anthophora leucophaea",37.796,-1.012,NA,1984,NA,NA,"Torchio, P",NA
"Anthophora plumipes",41.039,1.037,NA,1984,NA,NA,NA,"Rasmont P"
"Anthophora plumipes",42.317,3.303,NA,1984,NA,NA,NA,"Rasmont P"
"Bombus wurflenii",43.088,-6.026,NA,1988,NA,NA,"Obeso J. R.","Obeso J. R."
"Anthophora agama",41.85,1.012,NA,1984,NA,NA,NA,"Rasmont P"
"Bombus hortorum",42.046,-2.577,NA,1990,NA,NA,"Castro L.","Castro L"
"Bombus hortorum",42.583,1.964,NA,1990,NA,NA,"Castro L.","Castro L"
"Anthophora affinis",42.317,2.697,NA,1984,NA,NA,"Rasmont P","Rasmont P"
"Anthophora atroalba",36.858,-5.356,NA,2019,4,10,NA,NA
"Anthophora aestivalis",42.225,2.333,NA,1984,NA,NA,"Rasmont P","Rasmont P"
"Anthophora aestivalis",42.224,2.091,NA,1984,NA,NA,"Rasmont P","Rasmont P"
"Anthophora plumipes",38.69,-9.43,NA,1985,3,25,"G. E. Bohart","Ascher Js"
"Anthophora senescens",37.891,-1.351,NA,1985,NA,NA,"Asensio, E",NA
"Anthophora senescens",38.073,-1.461,NA,1985,NA,NA,"Asensio, E",NA
"Anthophora mucida",42.137,3.182,NA,1985,NA,NA,"Argelliez","Rasmont P"
"Anthophora atroalba",36.44,-5.176,NA,1985,4,1,NA,"Rasmont P"
"Anthophora dispar",36.44,-5.176,NA,1985,4,1,NA,"Rasmont P"
"Anthophora plumipes",39.62,-8.65,NA,1985,5,18,"Colln. Mendoça","D. Baldock"
"Anthophora plumipes",38.65,-9.2,NA,1985,4,1,"Cölln, Risch, Sorg","P. Westrich"
"Anthophora plumipes",42.137,3.182,NA,1986,NA,NA,NA,"Rasmont P"
"Anthophora mucida",42.137,3.182,NA,1986,NA,NA,"Argelliez J.-P.","Rasmont P"
"Anthophora atroalba",37.903,-2.943,NA,1986,NA,NA,"Merrera, J",NA
"Anthophora agama",41.591,-4.14,NA,1986,NA,NA,"Asensio, E",NA
"Anthophora crassipes",41.056,-8.584,NA,1986,7,11,NA,"Rasmont P"
"Anthophora crassipes",40.63,-8.66,NA,1986,7,17,"Speijer E. A. M.","Rasmont P"
"Anthophora aestivalis",43.026,-1.343,NA,1987,NA,NA,"Speijer E. A. M.","Rasmont P"
"Anthophora agama",37.269,-3.733,NA,1988,NA,NA,"Ortiz J.","Rasmont P"
"Anthophora retusa",40.305,-7.551,NA,1989,6,4,"M. Kuhlmann",NA
"Anthophora bimaculata",39.951,4.045,NA,2007,NA,NA,NA,NA
"Anthophora balearica",39.728,3.221,NA,2007,NA,NA,NA,NA
"Anthophora balearica",39.789,3.097,NA,2006,NA,NA,NA,NA
"Anthophora retusa",39.789,3.097,NA,2006,NA,NA,NA,NA
"Anthophora pubescens",37.87,-1.476,NA,2004,10,20,"Online_E. Scheuchl","Online_Stefan Schmidt"
"Anthophora fulvitarsis",41.526,-5.395,NA,1978,4,17,"Online_E. Asensio, F.d. Parker",NA
"Anthophora bimaculata",36.991,-4.414,NA,1978,4,14,"Online_G.e. Bohart",NA
"Anthophora balearica",41.442,-3.979,NA,1978,4,18,"Online_F.d. Parker",NA
"Anthophora bimaculata",41.526,-5.395,NA,1975,7,4,"Online_P.f. Torchio",NA
"Anthophora ferruginea",41.653,-4.728,NA,1975,7,5,"Online_P.f. Torchio","Online_R.w. Brooks 1988"
"Anthophora robusta",37.711,-2.166,NA,1974,6,3,"Online_P.f. Torchio, E. Asensio","Online_R.w. Brooks 1988"
"Anthophora bimaculata",41.526,-5.395,NA,1974,6,9,"Online_P.f. Torchio, E. Asensio",NA
"Anthophora bimaculata",41.526,-5.395,NA,1974,6,7,"Online_P.f. Torchio, E. Asensio",NA
"Anthophora bimaculata",41.504,-5.475,NA,1974,6,7,"Online_P.f. Torchio, E. Asensio",NA
"Anthophora bimaculata",41.655,-0.646,NA,1974,6,18,"Online_P.f. Torchio, E. Asensio",NA
"Anthophora affinis",41.653,-4.728,NA,1974,6,10,"Online_P.f. Torchio, E. Asensio","Online_R.w. Brooks 1988"
"Bombus pratorum",39.959,-1.068,NA,1991,NA,NA,"Castro L.","Castro L"
"Anthophora fulvitarsis",41.654,-4.722,NA,1974,6,5,"Online_Torchio & Asensio","Online_Brooks, Robert"
"Anthophora bimaculata",41.524,-5.392,NA,1974,6,9,"Online_Torchio & Asensio","Online_Brooks, Robert"
"Anthophora ferruginea",41.654,-4.722,NA,1974,6,20,"Online_Torchio & Asensio","Online_Brooks, Robert"
"Anthophora bimaculata",41.154,1.325,NA,1968,6,6,NA,NA
"Anthophora bimaculata",41.154,1.325,NA,1968,6,8,NA,NA
"Anthophora pubescens",42.055,3.2,NA,1963,6,11,"Online_Baker, Donald",NA
"Anthophora bimaculata",42.135,3.12,NA,1963,6,12,"Online_Baker, Donald",NA
"Anthophora bimaculata",42.044,3.161,NA,1963,6,17,"Online_Baker, Donald",NA
"Anthophora bimaculata",42.055,3.2,NA,1963,6,9,"Online_Baker, Donald",NA
"Anthophora bimaculata",40.305,-7.551,NA,1990,7,18,"M. Kuhlmann",NA
"Anthophora crassipes",40.305,-7.551,NA,1990,7,20,"M. Kuhlmann",NA
"Anthophora plumipes",40.305,-7.551,NA,1990,7,20,"M. Kuhlmann",NA
"Anthophora balneorum",42.493,1.966,NA,1991,NA,NA,"Delvare G.","Rasmont P"
"Anthophora hispanica",36.426,-6.156,NA,1993,NA,NA,"Coello P.","Ortiz Fj"
"Anthophora plumipes",37.146,-8.606,NA,1993,3,1,"A. J. Gardiner","D. Baldock"
"Bombus terrestris",41.475,-0.305,NA,1991,NA,NA,"Castro L.","Castro L"
"Anthophora pubescens",36.728,-3.84,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Anthophora dispar",37.001,-2.831,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Anthophora plumipes",37.001,-2.831,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Anthophora senescens",37.001,-2.831,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Anthophora leucophaea",36.91,-2.495,NA,1995,NA,NA,"Rasmont P","Rasmont P"
"Anthophora atroalba",36.526,-5.401,NA,1996,NA,NA,"Roberts, S",NA
"Anthophora plumipes",36.526,-5.401,NA,1996,NA,NA,"Roberts, S",NA
"Anthophora plumipes",37.11,-8.48,NA,1996,5,12,"D. Keen","G. Legoff"
"Anthophora bimaculata",37.11,-8.48,NA,1996,5,22,"D. Keen","D. Baldock"
"Anthophora agama",37.09,-8.75,NA,1997,3,29,"P. Hartmann",NA
"Anthophora atroalba",37.09,-8.75,NA,1997,3,29,"P. Hartmann",NA
"Anthophora crinipes",37.06,-8.83,NA,1997,3,31,"P. Hartmann",NA
"Anthophora atroalba",37.19,-8.43,NA,1997,4,1,"P. Hartmann",NA
"Anthophora bimaculata",37.19,-8.9,NA,1997,4,1,"P. Hartmann",NA
"Anthophora fulvitarsis",37.18,-8.76,NA,1997,4,3,"P. Hartmann",NA
"Anthophora bimaculata",37.09,-8.75,NA,1997,4,6,"P. Hartmann",NA
"Anthophora plumipes",37.07,-8.85,NA,1997,4,1,"P. Hartmann",NA
"Anthophora plumipes",37.1,-8.67,NA,1997,4,1,"P. Hartmann",NA
"Anthophora plumipes",37.09,-8.75,NA,1997,4,1,"P. Hartmann",NA
"Anthophora plumipes",37.06,-8.83,NA,1997,4,1,"P. Hartmann",NA
"Anthophora plumipes",37.19,-8.44,NA,1997,4,1,"P. Hartmann",NA
"Anthophora atroalba",37.073,-8.775,NA,1997,4,8,"P. Hartmann",NA
"Anthophora atroalba",39.87,-8.97,NA,1997,4,16,"M. Jenner","G. Legoff"
"Anthophora dispar",39.87,-8.97,NA,1997,4,16,"M. Jenner","G. Legoff"
"Anthophora femorata",39.51,-8.8,NA,1997,4,16,"M. Jenner","P. Westrich"
"Anthophora plumipes",39.54,-8.97,NA,1997,4,20,"M. Jenner","P. Westrich"
"Anthophora plumipes",39.51,-8.8,NA,1997,4,21,"M. Jenner","P. Westrich"
"Anthophora balneorum",39.38,-8.53,NA,1997,4,24,"M. Jenner","G. Legoff"
"Anthophora bimaculata",37.012,-7.961,NA,2008,10,14,"Online_Valter Jacinto","Online_Valter Jacinto"
"Anthophora plumipes",39.64,-8.673,NA,1987,5,6,"Online_Nuno De Mendoça","Online_Luis Filipe Lopes"
"Anthophora plumipes",38.757,-9.144,NA,1986,5,27,"Online_Pedro De Mendoça","Online_Luis Filipe Lopes"
"Anthophora plumipes",39.64,-8.673,NA,1986,6,8,"Online_Pedro Mendoça","Online_Luis Filipe Lopes"
"Anthophora plumipes",38.694,-9.143,NA,1985,3,25,"Online_G.e. Bohart","Online_J.s. Ascher 2006"
"Anthophora plumipes",39.64,-8.673,NA,1985,5,18,"Online_Pedro Mendoça","Online_David W. Baldock"
"Anthophora plumipes",39.233,-8.656,NA,1977,4,8,"Online_Pedro De Mendoça","Online_Luis Filipe Lopes"
"Anthophora atroalba",39.083,-8.148,NA,1977,5,22,"Online_João Mendoça","Online_G. Le Geoff"
"Anthophora mucida",39.083,-8.148,NA,1977,5,22,"Online_João Mendoça","Online_G. Le Geoff"
"Anthophora femorata",40.459,-7.648,NA,1977,7,15,"Online_António De Mendoça","Online_G. Le Geoff"
"Anthophora plumipes",39.233,-8.656,NA,1975,3,28,"Online_Pedro Mendoça","Online_David W. Baldock"
"Anthophora plumipes",39.233,-8.656,NA,1975,4,2,"Online_Pedro Mendoça","Online_Luis Filipe Lopes"
"Anthophora plumipes",39.64,-8.673,NA,1974,5,17,"Online_Nuno Mendoça","Online_David W. Baldock"
"Anthophora atroalba",39.08,-8.166,NA,1973,4,14,"Online_Pedro Mendoça","Online_David W. Baldock"
"Anthophora plumipes",39.233,-8.656,NA,1972,5,28,"Online_Pedro Mendoça","Online_Luis Filipe Lopes"
"Anthophora leucophaea",41.305,0.755,NA,1999,4,4,"C. Schmid-Egger","M. Schwarz"
"Anthophora leucophaea",38.06,-0.663,NA,1999,NA,NA,"Le Goff G","Le Goff G"
"Anthophora romandii",38.06,-0.663,NA,1999,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",37.13,-8.3,NA,1999,5,17,"D. Baldock","F. J. Ortiz"
"Anthophora romandii",38.06,-0.663,NA,2000,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",38.06,-0.663,NA,2000,NA,NA,"Le Goff G","Le Goff G"
"Anthophora bimaculata",37.969,-0.666,NA,2000,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",36.819,-3.729,NA,2000,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",38.06,-0.663,NA,2001,NA,NA,"Le Goff G","Le Goff G"
"Anthophora plumipes",37.18,-3.62,NA,2001,NA,NA,NA,"Le Goff G"
"Anthophora atroalba",37.18,-3.507,NA,2001,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",37.09,-8.75,NA,2001,9,9,"G. W. Allen","D. Baldock"
"Anthophora bimaculata",38.06,-0.663,NA,2002,NA,NA,"Le Goff G","Le Goff G"
"Anthophora romandii",38.06,-0.663,NA,2002,NA,NA,NA,"Le Goff G"
"Anthophora leucophaea",38.06,-0.663,NA,2002,NA,NA,"Le Goff G","Le Goff G"
"Anthophora dispar",37.51,-8.44,NA,2002,5,2,"D. Baldock","F. J. Ortiz"
"Anthophora plumipes",37.51,-8.44,NA,2002,5,2,"D. Baldock","F. J. Ortiz"
"Anthophora balneorum",36.728,-3.728,NA,2003,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",36.728,-3.728,NA,2003,NA,NA,NA,"Le Goff G"
"Anthophora balneorum",36.91,-3.505,NA,2003,NA,NA,NA,"Le Goff G"
"Anthophora fulvitarsis",36.91,-3.505,NA,2003,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",36.91,-3.505,NA,2003,NA,NA,NA,"Le Goff G"
"Bombus ruderarius",42.557,0.381,NA,1995,NA,NA,"Castro L.","Castro L"
"Bombus ruderarius",42.653,0.621,NA,1995,NA,NA,"Castro L.","Castro L"
"Bombus sichelii",42.557,0.381,NA,1995,NA,NA,"Castro L.","Castro L"
"Bombus subterraneus",42.557,0.381,NA,1995,NA,NA,"Castro L.","Castro L"
"Bombus terrestris",42.137,-8.819,NA,1995,NA,NA,"Castro L.","Castro L"
"Anthophora balneorum",36.726,-4.064,NA,2003,NA,NA,NA,"Le Goff G"
"Anthophora agama",39.08,-9.26,NA,2004,4,14,"J. Franco","G. Legoff"
"Anthophora plumipes",37.13,-8.3,NA,2004,4,20,"D. Baldock","F. J. Ortiz"
"Anthophora plumipes",37.13,-8.3,NA,2004,4,28,"D. Baldock","D. Baldock"
"Anthophora plumipes",37.19,-7.98,NA,2004,4,28,"D. Baldock","F. J. Ortiz"
"Anthophora balneorum",36.728,-3.728,NA,2004,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",36.728,-3.728,NA,2004,NA,NA,NA,"Le Goff G"
"Bombus ruderarius",42.65,0.499,NA,1996,NA,NA,"Castro L.","Castro L"
"Anthophora balneorum",36.729,-3.616,NA,2004,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",36.817,-3.953,NA,2004,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",36.817,-3.953,NA,2004,NA,NA,NA,"Le Goff G"
"Bombus soroeensis",42.928,-0.856,NA,1996,NA,NA,"Castro L.","Castro L"
"Anthophora plumipes",40.874,-3.653,NA,2004,NA,NA,NA,"Le Goff G"
"Anthophora leucophaea",37.006,-8.948,NA,2005,3,29,"M.&E. Howe","P. Rasmont"
"Anthophora plumipes",37.317,-8.557,NA,2005,4,1,"M.&E. Howe","T. Wood"
"Anthophora atroalba",37.1,-7.96,NA,2005,4,20,"D. Baldock","F. J. Ortiz"
"Anthophora fulvitarsis",37.1,-8.36,NA,2005,4,20,"D. Baldock","F. J. Ortiz"
"Anthophora plumipes",37.1,-7.96,NA,2005,4,20,"D. Baldock","D. Baldock"
"Anthophora retusa",37.091,-8.4,NA,2005,4,20,"D. Baldock","G. Legoff"
"Anthophora balneorum",36.728,-3.728,NA,2005,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",37.14,-8.65,NA,2005,5,1,"J. Smit","F. J. Ortiz-Sánchez"
"Anthophora bimaculata",37.19,-8.9,NA,2005,5,2,"J. Smit",NA
"Anthophora agama",37.301,-8.528,NA,2005,5,3,"J. Smit",NA
"Anthophora atroalba",37.301,-8.528,NA,2005,5,3,"J. Smit",NA
"Anthophora retusa",37.301,-8.528,NA,2005,5,3,"J. Smit",NA
"Bombus muscorum",42.113,-6.641,NA,1998,NA,NA,"Castro L.","Castro L"
"Anthophora agama",37.11,-7.62,NA,2005,5,4,"J. Smit",NA
"Anthophora atroalba",37.11,-7.62,NA,2005,5,4,"J. Smit",NA
"Anthophora bimaculata",37.11,-7.62,NA,2005,5,4,"J. Smit",NA
"Anthophora bimaculata",37.083,-7.694,NA,2005,5,4,"J. Smit",NA
"Bombus pyrenaeus",42.57,0.99,NA,1998,NA,NA,"Castro L.","Castro L"
"Bombus pyrenaeus",42.66,0.987,NA,1998,NA,NA,"Castro L.","Castro L"
"Anthophora plumipes",36.728,-3.728,NA,2005,NA,NA,NA,"Le Goff G"
"Anthophora bimaculata",37.13,-8.6,NA,2005,5,6,"J. Smit",NA
"Anthophora plumipes",36.819,-3.729,NA,2005,NA,NA,NA,"Le Goff G"
"Bombus ruderarius",42.66,0.987,NA,1998,NA,NA,"Castro L.","Castro L"
"Anthophora ferruginea",36.817,-2.047,NA,2005,NA,NA,NA,"Le Goff G"
"Anthophora atroalba",37.13,-8.3,NA,2006,4,20,"D. Baldock","F. J. Ortiz"
"Anthophora bimaculata",37.1,-8.36,NA,2006,4,20,"D. Baldock","D. Baldock"
"Anthophora fulvitarsis",37.1,-8.36,NA,2006,4,20,"D. Baldock","D. Baldock"
"Anthophora plumipes",37.1,-8.36,NA,2006,4,20,"D. Baldock","F. J. Ortiz"
"Anthophora plumipes",37.13,-8.3,NA,2006,4,20,"D. Baldock","D. Baldock"
"Anthophora atriceps",36.909,-3.73,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora atroalba",36.909,-3.73,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora ferruginea",36.728,-3.728,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",36.819,-3.729,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora dispar",36.909,-3.73,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora balneorum",36.728,-3.728,NA,2006,NA,NA,NA,"Le Goff G"
"Bombus sylvarum",42.136,2.576,NA,1999,NA,NA,"Castro L.","Castro L"
"Anthophora leucophaea",36.909,-3.73,NA,2006,NA,NA,NA,"Le Goff G"
"Anthophora plumipes",36.909,-3.73,NA,2006,NA,NA,NA,"Le Goff G"
"Bombus rupestris",41.77,-1.737,NA,2000,NA,NA,"Castro L.","Castro L"
"Anthophora punctilabris",36.819,-3.729,NA,2007,NA,NA,"Le Goff G","Le Goff G"
"Anthophora retusa",36.909,-3.73,NA,2007,NA,NA,NA,"Le Goff G"
"Anthophora pubescens",36.728,-3.728,NA,2007,NA,NA,NA,"Le Goff G"
"Anthophora romandii",36.909,-3.73,NA,2007,NA,NA,NA,"Le Goff G"
"Bombus hypnorum",43.303,-1.952,NA,2001,NA,NA,"Castro L.","Castro L"
"Anthophora mucida",36.819,-3.729,NA,2007,NA,NA,NA,"Le Goff G"
"Bombus lapidarius",42.227,-3.303,NA,2001,NA,NA,"Castro L.","Castro L"
"Anthophora plumipes",36.82,-3.392,NA,2007,NA,NA,NA,"Le Goff G"
